FIPS	relig	civic	bus	pol	prof	labor	bowl	fitns	golf	sport	pop	respn	nccs	assn	pvote
13273	7	N/A	3	N/A	N/A	N/A	N/A	N/A	1	N/A	9120	1.206140351	0.76	37	0.738043296
13275	55	4	1	N/A	1	1	1	5	N/A	N/A	44990	1.511446988	0.76	264	0.735867371
13277	38	1	5	N/A	1	N/A	1	5	1	N/A	40619	1.280189074	0.73	165	0.689626145
13279	26	N/A	2	1	1	N/A	1	1	N/A	N/A	27193	1.176773434	0.71	96	0.716015326
13281	12	1	3	N/A	N/A	1	N/A	N/A	N/A	N/A	11087	1.53332732	0.76	67	0.802143872
13283	7	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6808	1.175088132	0.57	18	0.694619853
13285	76	N/A	4	N/A	N/A	N/A	N/A	6	1	N/A	69489	1.251996719	0.73	306	0.64124963
13287	11	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8128	1.476377953	0.76	30	0.722199675
13289	5	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8354	0.837921954	0.52	20	0.715477609
13291	24	N/A	2	1	N/A	N/A	1	N/A	N/A	N/A	21952	1.275510204	0.69	125	0.847601561
13293	29	3	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	26240	1.295731707	0.77	84	0.670137443
13295	62	2	2	N/A	N/A	2	N/A	2	2	N/A	68261	1.054775055	0.76	204	0.542840143
13297	57	3	2	N/A	1	1	N/A	3	3	N/A	87449	0.800466558	0.77	300	0.752119661
13299	45	2	2	N/A	N/A	3	N/A	4	N/A	N/A	35515	1.576798536	0.73	158	0.704615203
13301	6	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5515	1.450589302	0.76	23	0.695484581
13303	17	N/A	2	N/A	1	1	N/A	N/A	1	N/A	20608	1.067546584	0.75	78	0.750575202
13305	38	3	2	N/A	N/A	1	N/A	1	1	N/A	29950	1.535893155	0.74	68	0.703934741
13307	2	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2650	1.132075472	0.47	7	0.764327109
13309	3	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7984	0.501002004	0.37	19	0.623556582
13311	23	2	3	N/A	N/A	N/A	N/A	N/A	1	N/A	27942	1.037864147	0.76	99	0.731737947
13313	75	6	5	N/A	N/A	1	2	4	2	N/A	103596	0.917023823	0.73	261	0.679373104
13315	5	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8838	0.792034397	0.43	29	0.754703329
13317	10	N/A	2	N/A	N/A	N/A	N/A	1	1	N/A	9923	1.41086365	0.79	48	0.771012146
13319	11	N/A	1	N/A	N/A	1	N/A	N/A	N/A	N/A	9344	1.391267123	0.73	35	0.814869072
13321	15	N/A	2	N/A	N/A	N/A	N/A	3	1	N/A	20952	1.002290951	0.79	56	0.721360637
15001	79	8	9	N/A	N/A	6	2	11	9	N/A	194016	0.639122547	0.56	1111	0.608245545
15003	372	60	37	7	18	60	5	51	24	N/A	992082	0.639060078	0.75	4697	0.62530713
15007	37	6	3	N/A	N/A	4	1	5	7	N/A	70672	0.891442155	0.54	413	0.622809171
15009	61	8	5	N/A	1	6	1	14	12	N/A	163398	0.660962802	0.51	858	0.565384124
16001	161	25	43	10	17	22	5	48	10	3	426847	0.805909377	0.82	2046	0.718034573
16003	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	3848	0.77962578	0.54	36	0.736071429
16005	24	8	4	N/A	N/A	14	2	7	4	1	83471	0.766733356	0.79	314	0.70602839
16007	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	2	N/A	5955	0.503778338	0.58	17	0.784760845
16009	5	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9080	0.881057269	0.65	70	0.722118959
16011	6	3	1	2	N/A	1	2	4	N/A	N/A	45204	0.420316786	0.8	120	0.783045721
16013	9	5	4	N/A	2	N/A	1	8	3	1	21443	1.538963764	0.58	214	0.737573258
16015	5	N/A	1	N/A	N/A	N/A	N/A	1	1	N/A	6826	1.171989452	0.54	42	0.678346457
16017	25	3	3	N/A	2	N/A	1	6	2	N/A	41533	1.011244071	0.6	278	0.720908525
16019	23	6	5	N/A	1	7	1	3	2	1	108526	0.451504709	0.8	351	0.779119869
16021	8	N/A	N/A	N/A	N/A	N/A	N/A	1	1	N/A	10977	0.910995718	0.65	89	0.712225705
16023	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2612	0.382848392	0.64	20	0.714444444
16025	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	1038	2.89017341	0.46	11	0.696385542
16027	80	7	4	1	2	4	2	9	6	N/A	202951	0.566639238	0.79	584	0.70631291
16029	N/A	1	1	N/A	N/A	N/A	1	N/A	1	N/A	6815	0.586940572	0.71	38	0.739699467
16031	8	N/A	2	N/A	N/A	N/A	1	2	1	N/A	23539	0.594757636	0.73	92	0.765499635
16033	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	874	N/A	0.46	6	0.733780761
16035	6	1	1	N/A	N/A	N/A	1	N/A	1	N/A	8509	1.175226231	0.6	83	0.726986625
16037	2	1	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	4145	0.965018094	0.55	50	0.745489079
16039	9	2	2	N/A	N/A	N/A	1	2	N/A	N/A	26262	0.609245297	0.74	98	0.681222336
16041	N/A	1	N/A	N/A	N/A	N/A	1	N/A	1	N/A	12994	0.230875789	0.81	48	0.807614652
16043	6	1	N/A	N/A	N/A	N/A	N/A	1	2	N/A	12870	0.777000777	0.44	49	0.770722635
16045	10	N/A	1	1	N/A	N/A	1	2	1	N/A	16774	0.95385716	0.82	60	0.72132884
16047	8	1	N/A	N/A	N/A	1	1	1	2	N/A	15115	0.92623222	0.77	70	0.752425757
16049	4	2	N/A	N/A	N/A	N/A	N/A	2	1	N/A	16206	0.55534987	0.63	116	0.741511397
16051	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	2	N/A	26988	0.111160516	0.83	57	0.806191117
16053	12	2	1	N/A	N/A	N/A	N/A	N/A	3	N/A	22789	0.789854754	0.78	69	0.699288256
16055	68	9	8	N/A	2	6	2	17	13	2	147245	0.862508065	0.77	633	0.74433041
16057	27	8	3	N/A	N/A	N/A	N/A	4	N/A	N/A	38585	1.088505896	0.8	289	0.674782679
16059	4	2	1	N/A	N/A	N/A	1	1	1	N/A	7725	1.294498382	0.65	72	0.774157092
16061	2	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	3822	1.308215594	0.67	45	0.736434109
16063	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5304	0.56561086	0.77	17	0.701983959
16065	N/A	N/A	1	N/A	1	N/A	1	3	N/A	N/A	38068	0.157612693	0.83	63	0.746503678
16067	9	1	1	N/A	N/A	N/A	N/A	N/A	1	1	20304	0.640267928	0.78	77	0.75694746
16069	27	7	1	N/A	N/A	4	1	6	2	N/A	39932	1.202043474	0.77	202	0.720147021
16071	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	4205	0.475624257	0.83	20	0.750628818
16073	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11309	0.353700592	0.59	45	0.691936083
16075	12	N/A	N/A	N/A	N/A	1	N/A	N/A	1	N/A	22820	0.613496933	0.83	79	0.727436205
16077	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7678	0.390726752	0.82	26	0.785926928
16079	5	2	2	N/A	N/A	1	1	1	3	N/A	12390	1.210653753	0.72	115	0.703951867
16081	2	N/A	1	1	N/A	N/A	N/A	2	2	N/A	10307	0.776171534	0.73	55	0.711499135
16083	46	6	9	N/A	N/A	2	2	12	5	N/A	81109	1.010985217	0.8	338	0.708192844
16085	10	2	2	N/A	N/A	N/A	N/A	3	2	N/A	9804	1.937984496	0.32	99	0.725516224
16087	5	1	N/A	N/A	N/A	N/A	1	1	1	N/A	10008	0.899280576	0.8	52	0.758892588
17001	67	12	4	3	1	7	3	9	3	N/A	67018	1.626428721	0.81	449	0.677565749
17003	8	1	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	7098	1.408847563	0.62	41	0.644158234
17005	19	2	2	N/A	N/A	1	N/A	1	1	N/A	17124	1.518336837	0.74	100	0.588953115
17007	17	3	4	N/A	N/A	4	2	2	4	N/A	53793	0.669232056	0.83	149	0.659189781
17009	7	2	1	N/A	N/A	1	N/A	1	1	N/A	6843	1.899751571	0.7	41	0.593224592
17011	40	3	2	N/A	N/A	4	2	3	8	N/A	33906	1.828584911	0.77	226	0.705061896
17013	3	N/A	1	N/A	N/A	N/A	N/A	1	N/A	N/A	4963	1.007455168	0.58	35	0.700190269
